"Compound/Formulation","Species","Avg/Med Lifespan Change (%)","Max Lifespan Change (%)","Strain","Dosage","Significant?","Reference"
"Naphthazarin","Caenorhabditis elegans","10","12","N2","100 µM","Y","21765926"
"Oxoline","Caenorhabditis elegans","15","12","N2","500 µM","Y","21765926"
"Oxoline","Caenorhabditis elegans","3","12","N2","500 µM","Y","21765926"
"Plumbagin","Caenorhabditis elegans","12","12","N2","50 µM","Y","21765926"
"Sodium butyrate","Drosophila melanogaster","8.3","12","Ra","10 mM","Y","26136617"
"17‐α‐estradiol","Mus musculus","19","12","UM-HET3","14.4 ppm of Chow","Y","27312235"
"N-acetyl-L-cysteine","Caenorhabditis elegans","12.53","12","N2","6 mM","Y","27683245"
"IP6","Caenorhabditis elegans","10","12","N2","10 mM","Y","32901024"
"Platanus orientalis Extract","Drosophila melanogaster","13.02","11.94","Oregon R","0.1µg/ml","Y","28887920"
"Ganoderma lucidum extract","Caenorhabditis elegans","35.83","11.76","N2","7.5 mg/mL","Y","30476533"
"Vitamin E","Zaprionus paravittiger","23.2","11.75","","10 μg/mL","Y","8930618"
"Alsterpaullone","Caenorhabditis elegans","12.55","11.55","N2","10 µM","Y","31089188"
"5-octanoyl salicylic acid","Caenorhabditis elegans","18.3","11.53","N2","100 µM","Y","30192051"
"Caffeic acid","Caenorhabditis elegans","15.85","11.52","N2","200 µM","Y","33802064"
"Resveratrol","Caenorhabditis elegans","11","11.5","N2","100 ug/ml","ND","21364612"
"2,5-Dimethyl-Celecoxib","Drosophila melanogaster","8.4","11.32","Dahomey","0.5 µM","Y","28025308"
"2-deoxy-D-glucose","Caenorhabditis elegans","26.21","11.27","N2","5 mM","Y","28992589"
"Polypeptide Bovine Thymus extract","Mus musculus","28","11.2","C3H/Sn","0.5 mg","Y","6752596"
"Prenol","Caenorhabditis elegans","18.22","11.2","N2","0.1 mM","Y","32725551"
"N-Acetyl Cysteine","Drosophila kikkawai","16","11.1","","1 µM","Y","30243020"
"Withaferin A","Drosophila melanogaster","7.7","11.1","Canton-S","10 µM","Y","33498013"
"Withaferin A","Drosophila melanogaster","9.6","11.1","Canton-S","100 µM","Y","33498013"
"Epicatechin","Caenorhabditis elegans","15","11","N2","100 µM","N","20513639"
"Tocotrienol","Caenorhabditis elegans","12","11","N2","259 µg","Y","22484623"
"1-methyl nicotinamide","Caenorhabditis elegans","7.7","11","N2","1 µM","Y","24077178"
"Acarbose","Mus musculus","22","11","UM-HET3","1000 mg/kg","Y","24245565"
"Rapamycin","Mus musculus","26","11","UM-HET3","42 mg of drug per kg of food","Y","24341993"
"Rapamycin","Mus musculus","21","11","UM-HET3","14 mg of drug per kg of food","Y","24341993"
"Polyvinylpyrrotidone","Drosophila melanogaster","7","11","cross between Canton S females with Oregon RC males","500 mg/100 mL of medium","N","4397875"
"N-Acetyl Cysteine","Drosophila melanogaster","5.6","10.9","Canton-S","100 µM","Y","30243020"
"Tyrosol","Caenorhabditis elegans","19.1","10.8","fer-15(b26)","250 µM","Y","22824366"
"Ginseng","Mus musculus","-2.39","10.71","LACa","40 mg/kg/day","N","571386"
"Electrolyzed reduced water","Caenorhabditis elegans","17.5","10.7","N2","","Y","23959012"
"Stachys lavandulifolia water extract","Drosophila melanogaster","22.1","10.6","Oregon R","12 µl/100 ml media","Y","20738162"
"Selenocysteine","Caenorhabditis elegans","24.34","10.52","N2","5 mM","Y","28954009"
"Vitexin","Caenorhabditis elegans","17.2","10.5","N2","100 µM","Y","26535084"
"L-Glu-L-Trp dipeptide","Rattus norvegicus","0","10.4","","5 µg/rat. 5 times a week","ND","11707921"
"Proanthocyanidins from Kunlun Chrysanthemum flowers","Drosophila melanogaster","15.5","10.4","Oregon R+","","Y","25628774"
"Royal Jelly Protein","Drosophila melanogaster","13.87","10.34","Canton-S","5%","Y","27388939"
"Pyrroloquinoline quinone","Caenorhabditis elegans","25","10.3","N2","10 mM","Y","28676501"
"Resveratrol","Anastrepha ludens","-5.6","10.2","","100 µM","N","19264118"
"Resveratrol","Anastrepha ludens","1.5","10","","100 µM","N","19264118"
"Oxoline","Caenorhabditis elegans","15","10","N2","500 µM","Y","21765926"
"2-Ethyl-6-methylpyridin-3-ol hydrochloride","Drosophila melanogaster","15","10","R(1)2 yy/y+Y","0.1 %","Y","119648"
"myo-inositol","Caenorhabditis elegans","11","10","N2","100 mM","Y","32901024"
"Doxylamine succinate","Drosophila melanogaster","22","10","Canton S","100 mg/100 mL of medium","N","4397875"
"Psoralea corylifolia extract","Caenorhabditis elegans","","9.8","N2","10 µg/mL","Y","19350411"
"N-Acetyl Cysteine","Drosophila virilis","26","9.8","","100 µM","Y","30243020"
"N-acetyl-L-cysteine","Caenorhabditis elegans","5.2","9.5","N2 CGCb strain","2 mM","N","26039957"
"N-acetyl-L-cysteine","Caenorhabditis elegans","6.1","9.5","N2 CGCb strain","1 mM","N","26039957"
"Dihydromyricetin","Drosophila melanogaster","16.49","9.42","wDah","40 μM","Y","33291074"
"Rapamycin","Mus musculus","10.1","9.3","129/Sv","1.5 mg/kg","Y","22107964"
"Methionine","Zaprionus paravittiger","11.57","9.26","","10 mM","N","7744272"
"Methionine","Zaprionus paravittiger","24.11","9.26","","100 mM","Y","7744272"
"Prenol","Caenorhabditis elegans","2.87","9.11","N2","0.5 mM","N","32725551"
"Resveratrol","Caenorhabditis elegans","12.8","9.1","N2","10 µM","Y","25976661"
"Resveratrol","Caenorhabditis elegans","6.3","9.1","N2","1 µM","N","25976661"
"Sodium butyrate","Drosophila melanogaster","14.6","9.1","Ra","10 mM","Y","26136617"
"Quercetin","Caenorhabditis elegans","11","9","N2","200 µM","Y","19043800"
"Glaucarubinone","Caenorhabditis elegans","7.9","9","N2","100 nM","Y","21264793"
"Acarbose","Mus musculus","5","9","UM-HET3","1000 mg/kg diet","Y","24245565"
"Inositol","Drosophila melanogaster","17","9","cross between Canton S females with Oregon RC males","120 mg/100 mL of medium","N","4397875"
"Diphenhydramine HCl","Drosophila melanogaster","14","9","Canton S","100 mg/100 mL of medium","N","4397875"
"Doxylamine succinate","Drosophila melanogaster","14","9","Canton S","100 mg/100 mL of medium","N","4397875"
"Fluprednisolone","Drosophila melanogaster","23","9","Canton S","0.75 mg/100 mL of medium","Y","4397875"
"Bismuth sodium tryglycollamate","Drosophila melanogaster","13","9","Canton S","310 mg/100 mL of medium","N","4397875"
"Proanthocyanidins from Kunlun Chrysanthemum flowers","Drosophila melanogaster","13.9","8.9","Oregon R+","","Y","25628774"
"Aronia extract","Drosophila melanogaster","15.38","8.88","Canton-S","2.5 mg/mL","Y","30263675"
"Xanthohumol","Drosophila melanogaster","10.41","8.88","Oregan R-C","0.5 mg/mL","Y","33549830"
"N-Acetyl Cysteine","Drosophila virilis","24","8.8","","1 mM","Y","30243020"
"Curcumin","Drosophila melanogaster","6.74","8.77","Canton-S","0.2 mg/g","Y","30488487"
"Vitamin E","Zaprionus paravittiger","2.22","8.77","","1 μg/mL","Y","8930618"
"α‐linolenic acid","Caenorhabditis elegans","28.67","8.7","N2","5 mM","Y","28772063"
"East Indian sandalwood oil","Caenorhabditis elegans","8.59","8.69","N2","6 µ/mL","Y","30319772"
"N-Acetyl Cysteine","Drosophila virilis","31","8.69","","100 nM","Y","30243020"
"N-Acetyl Cysteine","Drosophila virilis","32.4","8.6","","10 nM","Y","30243020"
"Methionine","Zaprionus paravittiger","20.82","8.48","","100 mM","Y","7744272"
"Torin 1","Drosophila melanogaster","27.27","8.33","Dahomey","0.5 µM","Y","29329306"
"α-Santalol","Caenorhabditis elegans","10.31","8.33","N2","32 µM","Y","30319772"
"α-Santalol","Caenorhabditis elegans","18.04","8.33","N2","32 µM","Y","30319772"
"β-Santalol","Caenorhabditis elegans","2.66","8.33","N2","8 µM","N","30319772"
"β-Santalol","Caenorhabditis elegans","3.78","8.33","N2","32µM","N","30319772"
"β-Santalol","Caenorhabditis elegans","4.64","8.33","N2","64 µM","Y","30319772"
"Dehydroabietic acid","Caenorhabditis elegans","4.8","8.3","N2","50 µM","N","25976661"
"N-Acetyl Cysteine","Drosophila kikkawai","12","8.3","","100 nM","Y","30243020"
"Luteolin","Caenorhabditis elegans","-1.54","8.28","N2","1 µM","Y","29375370"
"Luteolin","Caenorhabditis elegans","-0.6","8.28","N2","5 µM","Y","29375370"
"Pyrroloquinoline quinone","Caenorhabditis elegans","19.53","8.15","N2","3 mM","Y","28676501"
"beta-Aminopropionitrile fumarate","Mus musculus","4.57","8.03","LAF/J","3 mg/mL","Y","689120"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","44.4","8","Oregon R","20 µl/100 ml media","Y","20738162"
"Stachys lavandulifolia water extract","Drosophila melanogaster","21.9","8","Oregon R","12 µl/100 ml media","Y","20738162"
"Naphthazarin","Caenorhabditis elegans","10","8","N2","200 µM","Y","21765926"
"Naphthazarin","Caenorhabditis elegans","14","8","N2","500 µM","Y","21765926"
"Lonidamine","Caenorhabditis elegans","8","8","","5 µM","Y","21932172"
"Chicoric acid","Caenorhabditis elegans","21","8","N2","100 µM","Y","24244361"
"Rapamycin","Mus musculus","23","8","UM-HET3","42 mg of drug per kg of food","Y","24341993"
"D-glucosamine","Caenorhabditis elegans","11","8","N2","10 mM","Y","24714520"
"Rapamycin","Mus musculus","13","8","UM-HET3","14 mg of drug per kg of food","Y","24341993"
"Fluprednisolone","Drosophila melanogaster","16","8","Canton S","0.75 mg/100 mL of medium","N","4397875"
"Procaine HCl","Drosophila melanogaster","3","8","Canton S","200 mg/100 mL of medium","N","4397875"
"Selenocysteine","Caenorhabditis elegans","24.16","7.9","N2","1 mM","Y","28954009"
"Selenocysteine","Caenorhabditis elegans","21.72","7.9","N2","2.5 mM","Y","28954009"
"N-Acetyl Cysteine","Drosophila melanogaster","9.3","7.8","Canton-S","100 nM","Y","30243020"
"Aronia extract","Drosophila melanogaster","0","7.77","Canton-S","1 mg/mL","N","30263675"
"Recombinant GDF11","Nothobranchius guentheri","8.51","7.69","","0.2 mg/kg","Y","30519861"
"N-Acetyl Cysteine","Drosophila virilis","31","7.6","","1 µM","Y","30243020"
"N-Acetyl Cysteine","Drosophila virilis","29.6","7.6","","10 µM","Y","30243020"
"N-Acetyl Cysteine","Drosophila virilis","31","7.6","","100 µM","Y","30243020"
"Withanolide A","Caenorhabditis elegans","4.32","7.59","N2","2 µM","Y","26956478"
"Aluminum potassium sulfate","Mus musculus","-5.64","7.52","Swiss","5 ppm","N","1113210"
"L-deprenyl","Mus musculus","7","7.5","B6CBAF1","0.25 mg/kg 3x/week","N","8914495"
"Melatonin","Mus musculus","5.4","7.5","CBA","20 mg/l","Y","11445596"
"Platanus orientalis Extract","Drosophila melanogaster","2.43","7.46","Oregon R","10 µg/ml","Y","28887920"
"Rosa damascena extract","Drosophila melanogaster","4.5","7.4","w1118","","N","21928072"
"L-Leucine","Caenorhabditis elegans","6.84","7.32","N2","5 mM","Y","26620638"
"Resveratrol","Anastrepha ludens","6.2","7.3","","100 µM","N","19264118"
"Chlorpheniramine","Mus musculus","-3.3","7.2","C57BL/6J","2.28 µg/mL","N","4788962"
"Prunetin","Drosophila melanogaster","5.19","7.17","w1118","25 µM","Y","26538555"
"Glucose","Caenorhabditis elegans","37.5","7.14","N2","4%","Y","26764305"
"Naphthazarin","Caenorhabditis elegans","8","7","N2","100 µM","Y","21765926"
"Butylated hydroxyanisole","Zaprionus paravittiger","7.9","6.9","","5 mM","Y","9207858"
"Royal Jelly Protein","Drosophila melanogaster","8.96","6.9","Canton-S","1.25%","Y","27388939"
"N-Acetyl Cysteine","Drosophila virilis","22.6","6.9","","10 nM","Y","30243020"
"N-Acetyl Cysteine","Drosophila virilis","16","6.9","","1 µM","Y","30243020"
"N-Acetyl Cysteine","Drosophila virilis","22.7","6.9","","10 µM","Y","30243020"
"Naringin","Caenorhabditis elegans","11.5","6.8","N2","10 µM","Y","29375370"
"beta-Aminopropionitrile fumarate","Mus musculus","5.79","6.73","LAF/J","1 mg/mL","Y","689120"
"Ascorbic acid","Paramecium tetraurelia","12.1","6.7","","50 mg/L","ND","9406982"
"Vitamin E","Asplanchna brightwelli","16.4","6.7","clone 4B61","3 mM","Y","15374519"
"Kaempferol","Caenorhabditis elegans","5.63","6.65","N2","100 µM","Y","22155175"
"Butylated hydroxyanisole","Zaprionus paravittiger","18.4","6.6","","5 mM","Y","9207858"
"Rhodiola rosea","Drosophila melanogaster","16.7","6.6","IF","5 mg/ml","Y","24472572"
"Omega-3 Monoacylglyceride Docosahexaenoic acid","Drosophila melanogaster","14.58","6.56","w1118","0.3 mg/mL","Y","30453574"
"Tetrahydrocurcumin","Mus musculus","10.7","6.5","C57BL/6J","0.002","Y","17516143"
"L-isoleucine","Caenorhabditis elegans","9.5","6.45","N2","5 mM","Y","26620638"
"Ascorbic acid","Caenorhabditis elegans","-3.59","6.45","N2","5 mM","Y","27683245"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","12.4","6.4","Oregon R","4 µl/100 ml media","Y","20738162"
"Rosa damascena extract","Drosophila melanogaster","14.5","6.4","w1118","","Y","21928072"
"Alpha-ketoglutarate","Mus musculus","4.8","6.4","C57BL6/J","2% (w/w)","Y","32877690"
"Sodium hypophosphite","Zaprionus paravittiger","1","6","","1 µM","Y","3721207"
"Plumbagin","Caenorhabditis elegans","11","6","N2","25 µM","Y","21765926"
"Nicotinamide","Caenorhabditis elegans","6.5","6","N2","100 µM","Y","24077178"
"Methylene blue","Mus musculus","0.7","6","UM-HET3","27 mg/kg diet","Y","24245565"
"Rhodiola rosea","Drosophila melanogaster","14.3","6","IF","10 mg/ml","Y","24472572"
"Icariin","Mus musculus","8","6","C57BL/6J","0.02% in food","N","26145038"
"Rapamycin","Mus musculus","3","6","UM-HET3","4.7 mg of drug per kg of food","N","24341993"
"Protandim","Mus musculus","7","6","UM-HET3","600 ppm in chow","Y","27312235"
"Pyrroloquinoline quinone","Caenorhabditis elegans","10","6","N2","15 mM","Y","28676501"
"Quercetin","Drosophila melanogaster","13","6","Canton S","1 µM","Y","28066251"
"Diphenhydramine HCl","Drosophila melanogaster","16","6","Canton S","25 mg/100 mL of medium","N","4397875"
"Aluminum acetylsalicylate","Drosophila melanogaster","12","6","Canton S","680 mg/100 mL of medium","N","4397875"
"Cyclizine HCl","Drosophila melanogaster","6","6","Canton S","50 mg/100 mL of medium","N","4397875"
"Potassium titanium oxalate","Mus musculus","-5.36","5.99","Swiss","5 ppm","N","1113210"
"Kinetin","Zaprionus paravittiger","15","5.97","","12.5 ppm","Y","9137816"
"Tiliroside","Drosophila melanogaster","15.56","5.88","Oregon R","100 µM","Y","28887920"
"Sodium hypophosphite","Zaprionus paravittiger","5.3","5.7","","1 µM","Y","3721207"
"Resveratrol","Anastrepha ludens","3.8","5.7","","100 µM","N","19264118"
"Baicalein","Drosophila melanogaster","8.53","5.7","w1118","0.04mg/ml","Y","26778291"
"p-fluorophenylalanine","Drosophila melanogaster","","5.65","F1 hybrids between the B and K inbred lines","20 mM","N","5353613"
"Naproxen","Brachionus manjavacas","13.93","5.56","","1 µM","Y","27484416"
"Methionine","Zaprionus paravittiger","12.8","5.56","","1 mM","N","7744272"
"Buformin","Rattus norvegicus","7","5.5","LIO","5 mg/day","Y","14618027"
"D-glucosamine","Mus musculus","5.6","5.5","C57BL/6NRj","10 g/kg","Y","24714520"
"Chlorpromazine","Mus musculus","-0.2","5.5","C57BL/6J","16.7 µg/mL","N","4788962"
"Resveratrol","Anastrepha ludens","-4.9","5.4","","100 µM","N","19264118"
"Rapamycin","Mus musculus","5.3","5.4","N mice","4 mg/kg BW","Y","29378959"
"Green tea extract","Drosophila melanogaster","7.8","5.3","Oregon-R-C","5 mg/ml","Y","17440995"
"Green tea extract","Drosophila melanogaster","15.7","5.3","Oregon-R-C","10 mg/ml","Y","17440995"
"Green tea extract","Drosophila melanogaster","5.9","5.3","Oregon-R-C","1 mg/ml","Y","17440995"
"Vitexin","Caenorhabditis elegans","8","5.3","N2","50 µM","Y","26535084"
"Pine Bark extract","Caenorhabditis elegans","","5.2","N2","10 µg/mL","Y","19350411"
"Royal Jelly Protein","Drosophila melanogaster","12.43","5.17","Canton-S","2.50%","Y","27388939"
"Quercetin","Caenorhabditis elegans","10.82","5.11","N2","200 µM","Y","21776484"
"Melatonin","Paramecium tetraurelia","10.8","5.1","","10 mg/L","ND","9406982"
"Proanthocyanidins from Kunlun Chrysanthemum flowers","Drosophila melanogaster","1","5.1","Oregon R+","","N","25628774"
"Cranberry anthocyanin extract","Drosophila melanogaster","10.4","5.1","Oregon-R-C","20 mg/ml","Y","26159161"
"N-tert-butyl-alpha-phenylnitrone","Mus musculus","3.8","5","C57BL/6J","0.25 mg/ml of water","Y","9614711"
"Alpha-lipoic acid","Drosophila melanogaster","12","5","Canton S","0.01%","ND","15328413"
"Resveratrol","Anastrepha ludens","2.3","5","","100 µM","N","19264118"
"Oxoline","Caenorhabditis elegans","2","5","N2","100 µM","N","21765926"
"Plumbagin","Caenorhabditis elegans","3","5","N2","2.5 µM","N","21765926"
"Plumbagin","Caenorhabditis elegans","15","5","N2","25 µM","Y","21765926"
"Plumbagin","Caenorhabditis elegans","12","5","N2","50 µM","Y","21765926"
"Rapamycin","Mus musculus","16","5","UM-HET3","4.7 mg of drug per kg of food","Y","24341993"
"Aspirin","Drosophila melanogaster","30","5","cross between Canton S females with Oregon RC males","20 mg/100 mL of medium","Y","4397875"
"Aspirin","Drosophila melanogaster","-14","5","cross between Canton S females with Oregon RC males","20 mg/100 mL of medium","N","4397875"
"Acetaminophen","Drosophila melanogaster","20","5","Canton S","650 mg/100 mL of medium","Y","4397875"
"Indomethacin","Drosophila melanogaster","0","5","Canton S","31 mg/100 mL of medium","N","4397875"
"Doxylamine succinate","Drosophila melanogaster","4","5","Canton S","25 mg/100 mL of medium","N","4397875"
"Procaine HCl","Drosophila melanogaster","18","5","Canton S","200 mg/100 mL of medium","N","4397875"
"Nickelous acetate","Mus musculus","5.48","4.99","Swiss","5 ppm","Y","1113210"
"Curcumin","Drosophila melanogaster","3.01","4.91","Canton-S","0.2 mg/g","N","30488487"
"N-Acetyl Cysteine","Drosophila virilis","18.7","4.9","","100 nM","Y","30243020"
"Epigallocatechin-3-gallate","Caenorhabditis elegans","4.8","4.8","N2","25 µM","N","17156833"
"trans-3,5-dimethoxy-4-fluoro-4'-hydroxystilbene","Caenorhabditis elegans","3.63","4.76","N2","100 µM","Y","27882602"
"2-Selenium-bridged β-cyclodextrin","Caenorhabditis elegans","7.24","4.76","N2","0.5 mM","Y","101039"
"2-Selenium-bridged-beta-cyclodextrin","Caenorhabditis elegans","7.24","4.76","N2","0.5 mM","Y","101039"
"2-Selenium-bridged-beta-cyclodextrin","Caenorhabditis elegans","8.69","4.76","N2","5 mM","Y","101039"
"Ribes fasciculatum eylacetate fraction","Caenorhabditis elegans","11.1","4.76","N2","250 µg/mL","Y","27478096"
"Quercetin","Aedes aegypti","59.85","4.76","Liverpool","100 µM","Y","27732590"
"Proanthocyanidins from Kunlun Chrysanthemum flowers","Drosophila melanogaster","5.3","4.7","Oregon R+","","N","25628774"
"N-Acetyl Cysteine","Drosophila melanogaster","5.6","4.7","Canton-S","10 nM","Y","30243020"
"N-Acetyl Cysteine","Drosophila melanogaster","7.4","4.7","Canton-S","1 µM","Y","30243020"
"Baicalein","Drosophila melanogaster","9.32","4.66","w1118","1 mg/ml","Y","26778291"
